"State or other
jurisdiction",2020,2021,2022,2023
Federal (FLSA),7.25,7.25,7.25,7.25
Alabama,...,...,...,...
Alaska,10.19,10.34,10.34,10.85
Arizona,12,12.15,12.8,13.85
Arkansas,10.00[c],11,11,11
California,12,13,14,15.5
Colorado,12.02,12.32,12.56,13.65
Connecticut,12,13,14,15
Delaware,9.25,9.25,10.5,11.75
Florida,8.56,10,10,12
Georgia,5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,10.1,10.1,12,12
Idaho,7.25,7.25,7.25,7.25
Illinois,10.00[c],11.00[c],12.00[c],13.00[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...
Maine,12,12.15,12.75,13.8
Maryland,11,11.75,12.5,13.25
Massachusetts,12.75,13.5,14.25,15
Michigan,9.65(e),9.65(e),9.87(e),10.10(e)
Minnesota,10.00(g),10.08(g),10.33(g),10.59(g)
Mississippi,...,...,...,...
Missouri,9.45,10.3,11.15,12
Montana,8.65(g),8.75(g),9.20(g),9.95(g)
Nebraska,9.00[c],9.00[c],9.00[c],10.50[c]
Nevada,8.00-9.00,8.75-9.75,9.50/10.50,10.25/11.25
New Hampshire,7.25,7.25,7.25,7.25
New Jersey,11,12,13,14.13
New Mexico,9,10.5,11.5,12
New York,11.8,12.5,13.2,14.2
North Carolina,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25
Ohio,8.7,8.8,9.3,10.1
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,12,12.75,13.5,14.2
Pennsylvania,7.25,7.25,7.25,7.25
Rhode Island,11.5,11.5,12.25,13
South Carolina,...,...,...,...
South Dakota,9.3,9.45,9.95,10.8
Tennessee,...,...,...,...
Texas,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25
Vermont,10.96(e),11.75,12.55,13.18
Virginia,7.25[c],9.5,11,12
Washington,13.5,13.69,14.49,15.74
West Virginia,8.75,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15
District of Columbia,15,15.2,$16.10,17
Guam,8.25,8.75,9.25,9.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),7.25(i),9.5
U.S. Virgin Islands,10.50(j),10.50(j),10.50(j),10.50(j)
